#CODE;English;French;Dutch;;Spanish;;;;;;;;;x
ACS_00001_TITLE;Celestial warning;Celestial warning;Celestial warning;;Advertencia celeste;;;;;;;;;x
ACS_00001_DESC;The big comet from 16 years ago makes its second appearance in the sky. It now has two tails that are leaving a bloody trail even in broad daylight. People gaze at it in fear and all compete to reveal the meaning of such an omen.;The big comet from 16 years ago makes its second appearance in the sky. It now has two tails that are leaving a bloody trail even in broad daylight. People gaze at it in fear and all compete to reveal the meaning of such an omen.;The big comet from 16 years ago makes its second appearance in the sky. It now has two tails that are leaving a bloody trail even in broad daylight. People gaze at it in fear and all compete to reveal the meaning of such an omen.;;El cometa rojo de hace 16 años hace su segunda aparición sobre el cielo. Ahora tiene dos colas que van dejando un rastro sangrante incluso a plena luz del día. La gente lo contempla con temor y todos compiten en desvelar el significado de tal augurio.;;;;;;;;;x
ACS_00001_OPT_A;Misfortune is coming!;Misfortune is coming!;Misfortune is coming!;;¡Se aproximan desgracias!;;;;;;;;;x

ACS_00004_TITLE;Sublime beauty;Sublime beauty;Sublime beauty;;Sublime belleza;;;;;;;;;x
ACS_00004_DESC;A wanderer bard has come to my court. I've taken him under my wing and now he's singing during dinner. After reciting the usual tunes, he starts singing the news of his travels.\nHe tells the story of a new merchant prince. The daughter of this new merchant is a very young woman, the most beautiful that some eyes have ever seen. The very sight of her can drive a man mad with love and cast a spell on him;A wanderer bard has come to my court. I've taken him under my wing and now he's singing during dinner. After reciting the usual tunes, he starts singing the news of his travels.\nHe tells the story of a new merchant prince. The daughter of this new merchant is a very young woman, the most beautiful that some eyes have ever seen. The very sight of her can drive a man mad with love and cast a spell on him;A wanderer bard has come to my court. I've taken him under my wing and now he's singing during dinner. After reciting the usual tunes, he starts singing the news of his travels.\nHe tells the story of a new merchant prince. The daughter of this new merchant is a very young woman, the most beautiful that some eyes have ever seen. The very sight of her can drive a man mad with love and cast a spell on him;;A wanderer bard has come to my court. I've taken him under my wing and now he's singing during dinner. After reciting the usual tunes, he starts singing the news of his travels.\nHe tells the story of a new merchant prince. The daughter of this new merchant is a very young woman, the most beautiful that some eyes have ever seen. The very sight of her can drive a man mad with love and cast a spell on him;;;;;;;;;x

ACS_00018_TITLE;The doctor;The doctor;The doctor;;El doctor;;;;;;;;;x
ACS_00018_DESC;A young doctor has come to my court. He possesses vast medical knowledge that he has demonstrated to everyone, curing diseases and ailments that seemed deadly. He is also very handsome and manly. He has immense appeal. He is strong, brave, cultured and his words taste like honey.\nI don't know how it happened. One thing led to another and suddenly we shared an afternoon making love with unbridled passion. At night, exhausted, I lie in my bed and feel like I'm floating in the clouds.\nI've never felt this way about anyone before.\nI love him.;A young doctor has come to my court. He possesses vast medical knowledge that he has demonstrated to everyone, curing diseases and ailments that seemed deadly. He is also very handsome and manly. He has immense appeal. He is strong, brave, cultured and his words taste like honey.\nI don't know how it happened. One thing led to another and suddenly we shared an afternoon making love with unbridled passion. At night, exhausted, I lie in my bed and feel like I'm floating in the clouds.\nI've never felt this way about anyone before.\nI love him.;A young doctor has come to my court. He possesses vast medical knowledge that he has demonstrated to everyone, curing diseases and ailments that seemed deadly. He is also very handsome and manly. He has immense appeal. He is strong, brave, cultured and his words taste like honey.\nI don't know how it happened. One thing led to another and suddenly we shared an afternoon making love with unbridled passion. At night, exhausted, I lie in my bed and feel like I'm floating in the clouds.\nI've never felt this way about anyone before.\nI love him.;;Un joven médico ha llegado a mi corte. Posee vastos conocimientos médicos que ha demostrado ante todos, curando enfermedades y padecimientos que parecían mortales. Él también es muy guapo y varonil. Tiene un atractivo inmenso. Es fuerte, valiente, culto y sus palabras saben a miel.\nNo sé como ha pasado. Una cosa llevó a la otra y de repente compartimos una tarde haciendo el amor con pasión desenfrenada. Por la noche, agotada, me recuesto en mi cama y siento que floto entre las nubes.\nJamás había sentido esto por alguien.\nLo amo.;;;;;;;;;x

ACS_00035_TITLE;A wedding for [From.GetFirstName].;A wedding for [From.GetFirstName].;A wedding for [From.GetFirstName].;;Un matrimonio para [From.GetFirstName].;;;;;;;;;x
ACS_00035_DESC;The beautiful [From.GetDynName], a member of our dynasty, is available for marriage. The heads of our house will meet to get a proper cadidate who can give us glory and power.;The beautiful [From.GetDynName], a member of our dynasty, is available for marriage. The heads of our house will meet to get a proper cadidate who can give us glory and power.;The beautiful [From.GetDynName], a member of our dynasty, is available for marriage. The heads of our house will meet to get a proper cadidate who can give us glory and power.;;La bellísima [From.GetDynName], miembro de nuestra dinastía, está lista para contraer matrimonio. Los ancianos de nuestra casa hallarán un candidato apropiado que nos proporcione gloria y poder.;;;;;;;;;x

ACS_00037_DESC;Dear [Root.GetBestName], you have been selected as a possible candidate to be [From.GetDynName] husband. Would you be interested in the opportunity to marry the most fascinating woman in the world?.;Dear [Root.GetBestName], you have been selected as a possible candidate to be [From.GetDynName] husband. Would you be interested in the opportunity to marry the most fascinating woman in the world?.;Dear [Root.GetBestName], you have been selected as a possible candidate to be [From.GetDynName] husband. Would you be interested in the opportunity to marry the most fascinating woman in the world?.;;Estimado [Root.GetBestName], es un honor tomarlo en cuenta como candidato para desposar a [From.GetDynName]. ¿Está interesado en desposar a la mujer más fascinante del mundo?.;;;;;;;;;x
ACS_00037_OPT_A;What a chance for the glory!;What a chance for the glory!;What a chance for the glory!;;Qué oportunidad para la gloria;;;;;;;;;x
ACS_00037_OPT_B;I'm not interested;I'm not interested;I'm not interested;;No estoy interesado;;;;;;;;;x

ACS_00041_TITLE;Wedding Games;Wedding Games;Wedding Games;;Juegos de boda;;;;;;;;;x
ACS_00041_DESC;After arduous family counseling sessions, the Pentaghast family has seen fit to give me the beautiful [From.GetDynName] in marriage.\nThe young lady has come to my domain escorted by a royal guard. She has quickly won the hearts of all my people and now the marriage is about to take place under [Root.Religion.GetHighGodName]'s blessing.\nI am dying to see what incredible children we will have.;After arduous family counseling sessions, the Pentaghast family has seen fit to give me the beautiful [From.GetDynName] in marriage.\nThe young lady has come to my domain escorted by a royal guard. She has quickly won the hearts of all my people and now the marriage is about to take place under [Root.Religion.GetHighGodName]'s blessing.\nI am dying to see what incredible children we will have.;After arduous family counseling sessions, the Pentaghast family has seen fit to give me the beautiful [From.GetDynName] in marriage.\nThe young lady has come to my domain escorted by a royal guard. She has quickly won the hearts of all my people and now the marriage is about to take place under [Root.Religion.GetHighGodName]'s blessing.\nI am dying to see what incredible children we will have.;;Después de arduas sesiones de consejo familiar, la familia Pentaghast ha tenido a bien concederme a la preciosa [From.GetDynName] en matrimonio.\nLa joven ha llegado a mis dominios escoltada por una guardia real. Rápidamente se ha ganado el corazón de toda mi gente y ahora el matrimonio está a punto de celebrarse bajo la bendición de [Root.Religion.GetHighGodName].\nMuero por ver qué increíbles hijos tendremos.;;;;;;;;;x

ACS_00047_TITLE;A wedding for [FromFrom.GetFirstName].;A wedding for [FromFrom.GetFirstName].;A wedding for [FromFrom.GetFirstName].;;Un matrimonio para [FromFrom.GetFirstName].;;;;;;;;;x
