#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

pentaghast_society;The Pentaghast;Le Pentaghast;Die Pentaghast;;Los Pentaghast;;;;;;;;;x
pentaghast_society_desc;Pendant description;;;;Los Pentaghast buscan el conocimiento y el poder a cualquier costo. venera a una figura mítica llamada "La Madre de Todo", quién parece ser la personificación del conocimiento entre ellos. No se sabe demasiado sobre sus prácticas y costumbres y la sociedad está envuelta en un halo de misterio.;;;;;;;;;x
pentaghast_society_leader_desc;Supreme Leader;Supreme Leader;Supreme Leader;;Líder supremo;;;;;;;;;x
currency_name_pentaghast_society;Influency;;;;Influencia;;;;;;;;;x
pentaghast_society_rank_1_female;Squire;Squire;Squire;;Escudera;;;;;;;;;x
pentaghast_society_rank_2_female;Knight;Knight;Knight;;Caballero;;;;;;;;;x
pentaghast_society_rank_3_female;Captain;Captain;Captain;;Capitana;;;;;;;;;x
pentaghast_society_rank_4_female;Elder;Elder;Elder;;Anciana;;;;;;;;;x
pentaghast_society_rank_1_male;Squire;Squire;Squire;;Escudero;;;;;;;;;x
pentaghast_society_rank_2_male;Knight;Knight;Knight;;Caballero;;;;;;;;;x
pentaghast_society_rank_3_male;Captain;Captain;Captain;;Capitán;;;;;;;;;x
pentaghast_society_rank_4_male;Elder;Elder;Elder;;Anciano;;;;;;;;;x

sakya_society;The Sakya;;;;Los Sakya;;;;;;;;;x
sakya_society_desc;The Sakya description;;;;Se recomienda precaución al averiguar sobre esta sociedad. No querrás sufrir un accidente inesperado.;;;;;;;;;x
sakya_society_leader_desc;The Ancient One;L'ancien;Der Alte;;El Antiguo;;;;;;;;;x
currency_name_sakya_society;Power;;;;Poder;;;;;;;;;x
sakya_society_rank_1_female;Squire;Squire;Squire;;Escudera;;;;;;;;;x
sakya_society_rank_2_female;Knight;Knight;Knight;;Caballero;;;;;;;;;x
sakya_society_rank_3_female;Captain;Captain;Captain;;Capitana;;;;;;;;;x
sakya_society_rank_4_female;Elder;Elder;Elder;;Anciana;;;;;;;;;x
sakya_society_rank_1_male;Squire;Squire;Squire;;Escudero;;;;;;;;;x
sakya_society_rank_2_male;Knight;Knight;Knight;;Caballero;;;;;;;;;x
sakya_society_rank_3_male;Captain;Captain;Captain;;Capitán;;;;;;;;;x
sakya_society_rank_4_male;Elder;Elder;Elder;;Anciano;;;;;;;;;x
