#CODE;ENGLISH;Obtenez Eevee;Hol dir Vee;;SPANISH;;;;;;;;;x
khalga_dragon_katana;Ancient katana;Ancient katana;Ancient katana;;Ancient katana;;;;;;;;;x
khalga_dragon_katana_desc;An ancient and beautifully forged katana, still unpolluted after countless battles and duels.;An ancient and beautifully forged katana, still unpolluted after countless battles and duels.;An ancient and beautifully forged katana, still unpolluted after countless battles and duels.;;An ancient and beautifully forged katana, still unpolluted after countless battles and duels.;;;;;;;;;x

ash_warframe;Ash;Ash;Ash;;Ash;;;;;;;;;x
ash_warframe_desc;This is Ash, lethal and elusive.\nAsh can remain unseen, but his effects on the battlefield can be felt by all. Keep an eye out, kiddo.;This is Ash, lethal and elusive.\nAsh can remain unseen, but his effects on the battlefield can be felt by all. Keep an eye out, kiddo.;This is Ash, lethal and elusive.\nAsh can remain unseen, but his effects on the battlefield can be felt by all. Keep an eye out, kiddo.;;This is Ash, lethal and elusive.\nAsh can remain unseen, but his effects on the battlefield can be felt by all. Keep an eye out, kiddo.;;;;;;;;;x

atlas_warframe;Atlas;Atlas;Atlas;;Atlas;;;;;;;;;x
atlas_warframe_desc;This is Atlas, the brawler, the strong.\nMoving mountains is no easy task, kiddo. Atlas endures.;This is Atlas, the brawler, the strong.\nMoving mountains is no easy task, kiddo. Atlas endures.;This is Atlas, the brawler, the strong.\nMoving mountains is no easy task, kiddo. Atlas endures.;;This is Atlas, the brawler, the strong.\nMoving mountains is no easy task, kiddo. Atlas endures.;;;;;;;;;x

banshee_warframe;Banshee;Banshee;Banshee;;Banshee;;;;;;;;;x
banshee_warframe_desc;This is Banshee, stealthy and ranged.\nNo one puts Banshee in a corner, kiddo. The element of surprise is in her favor.;This is Banshee, stealthy and ranged.\nNo one puts Banshee in a corner, kiddo. The element of surprise is in her favor.;This is Banshee, stealthy and ranged.\nNo one puts Banshee in a corner, kiddo. The element of surprise is in her favor.;;This is Banshee, stealthy and ranged.\nNo one puts Banshee in a corner, kiddo. The element of surprise is in her favor.;;;;;;;;;x

ivara_warframe;Ivara;Ivara;Ivara;;Ivara;;;;;;;;;x
ivara_warframe_desc;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;;;;;;;;;x

ivara_prime_warframe;Ivara;Ivara;Ivara;;Ivara;;;;;;;;;x
ivara_prime_warframe_desc;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;;This is Ivara, the huntress, the thief.\nDon't roam around the forest looking for a fight, Tenno. Ivara is always on guard.;;;;;;;;;x

saryn_warframe;Saryn;Saryn;Saryn;;Saryn;;;;;;;;;x
saryn_warframe_desc;This is Saryn, elusive and deadly.\nSaryn is a deadly force on the battlefield. Get down with the sickness, kiddo.;This is Saryn, elusive and deadly.\nSaryn is a deadly force on the battlefield. Get down with the sickness, kiddo.;This is Saryn, elusive and deadly.\nSaryn is a deadly force on the battlefield. Get down with the sickness, kiddo.;;This is Saryn, elusive and deadly.\nSaryn is a deadly force on the battlefield. Get down with the sickness, kiddo.;;;;;;;;;x

excalibur_warframe;Excalibur;Excalibur;Excalibur;;Excalibur;;;;;;;;;x
excalibur_warframe_desc;This is Excalibur, a master of gun and blade.\nNo matter your style, kiddo, the Excalibur Warframe is a formidable choice.;This is Excalibur, a master of gun and blade.\nNo matter your style, kiddo, the Excalibur Warframe is a formidable choice.;This is Excalibur, a master of gun and blade.\nNo matter your style, kiddo, the Excalibur Warframe is a formidable choice.;;This is Excalibur, a master of gun and blade.\nNo matter your style, kiddo, the Excalibur Warframe is a formidable choice.;;;;;;;;;x

mag_warframe;Saryn;Saryn;Saryn;;Saryn;;;;;;;;;x
mag_warframe_desc;This is Mag, a force to be reckoned with.\nMag is a team player, kiddo, and a worthy addition to any squad.;This is Mag, a force to be reckoned with.\nMag is a team player, kiddo, and a worthy addition to any squad.;This is Mag, a force to be reckoned with.\nMag is a team player, kiddo, and a worthy addition to any squad.;;This is Mag, a force to be reckoned with.\nMag is a team player, kiddo, and a worthy addition to any squad.;;;;;;;;;x

volt_warframe;Saryn;Saryn;Saryn;;Saryn;;;;;;;;;x
volt_warframe_desc;This is Volt, a versatile warrior.\nVolt's arsenal is powerful and electrifying. Handle with care, kiddo.;This is Volt, a versatile warrior.\nVolt's arsenal is powerful and electrifying. Handle with care, kiddo.;This is Volt, a versatile warrior.\nVolt's arsenal is powerful and electrifying. Handle with care, kiddo.;;This is Volt, a versatile warrior.\nVolt's arsenal is powerful and electrifying. Handle with care, kiddo.;;;;;;;;;x

nidus_warframe;Nidus;Nidus;Nidus;;Nidus;;;;;;;;;x
nidus_warframe_desc;This is Nidus, the adaptive, the scourge.\nNidus is a deadly plague for which there is no cure. You must control the strange disease.;This is Nidus, the adaptive, the scourge.\nNidus is a deadly plague for which there is no cure. You must control the strange disease.;This is Nidus, the adaptive, the scourge.\nNidus is a deadly plague for which there is no cure. You must control the strange disease.;;This is Nidus, the adaptive, the scourge.\nNidus is a deadly plague for which there is no cure. You must control the strange disease.;;;;;;;;;x
